id,name,category_id,is_visible,origin_price_KRW,discounted_price_KRW,event_price_KRW,servings_g_peopl,cook_time,detail_top_text,thumbnail_over_url,thumbnail_out_url,detail_HTML,priority,seller_id
11,제주 흑돈 양념 불고기,6,1,3000,0,0,1~2인분,2분,임시데이터\n임시데이터,https://image.shutterstock.com/image-vector/square-pop-web-bunner-250x250-600w-776409511.jpg,https://image.shutterstock.com/image-vector/square-pop-web-bunner-250x250-600w-776409511.jpg,1,0,0
12,매운 불족발,6,1,1000,0,0,1~2인분,7분,임시데이터\n임시데이터,https://image.shutterstock.com/image-vector/square-pop-web-bunner-250x250-600w-776409511.jpg,https://image.shutterstock.com/image-vector/square-pop-web-bunner-250x250-600w-776409511.jpg,1,0,0
13,담백한 편육,7,1,7000,0,0,1~2인분,3분,임시데이터\n임시데이터,https://image.shutterstock.com/image-vector/square-pop-web-bunner-250x250-600w-776409511.jpg,https://image.shutterstock.com/image-vector/square-pop-web-bunner-250x250-600w-776409511.jpg,1,0,0
14,묵은지 김치전,7,1,4000,0,0,1~2인분,4분,임시데이터\n임시데이터,https://image.shutterstock.com/image-vector/square-pop-web-bunner-250x250-600w-776409511.jpg,https://image.shutterstock.com/image-vector/square-pop-web-bunner-250x250-600w-776409511.jpg,1,0,0
15,너비아니,8,1,7000,0,0,1~2인분,4분,임시데이터\n임시데이터,https://image.shutterstock.com/image-vector/square-pop-web-bunner-250x250-600w-776409511.jpg,https://image.shutterstock.com/image-vector/square-pop-web-bunner-250x250-600w-776409511.jpg,1,0,0
16,매콤한 부대볶음,8,1,5000,0,0,1~2인분,3분,임시데이터\n임시데이터,https://image.shutterstock.com/image-vector/square-pop-web-bunner-250x250-600w-776409511.jpg,https://image.shutterstock.com/image-vector/square-pop-web-bunner-250x250-600w-776409511.jpg,1,0,0
17,안동인 안동찜닭,9,1,3000,0,0,1~2인분,1분,임시데이터\n임시데이터,https://image.shutterstock.com/image-vector/square-pop-web-bunner-250x250-600w-776409511.jpg,https://image.shutterstock.com/image-vector/square-pop-web-bunner-250x250-600w-776409511.jpg,1,0,0
18,조선호텔 맛김치 1.9kg,9,1,7800,0,0,1~2인분,3분,임시데이터\n임시데이터,https://image.shutterstock.com/image-vector/square-pop-web-bunner-250x250-600w-776409511.jpg,https://image.shutterstock.com/image-vector/square-pop-web-bunner-250x250-600w-776409511.jpg,1,0,0
19,우리집 오징어 무국,10,1,9000,0,0,1~2인분,2분,임시데이터\n임시데이터,https://image.shutterstock.com/image-vector/square-pop-web-bunner-250x250-600w-776409511.jpg,https://image.shutterstock.com/image-vector/square-pop-web-bunner-250x250-600w-776409511.jpg,1,0,0
20,고추장 삼겹살,10,1,54000,0,0,1~2인분,1분,임시데이터\n임시데이터,https://image.shutterstock.com/image-vector/square-pop-web-bunner-250x250-600w-776409511.jpg,https://image.shutterstock.com/image-vector/square-pop-web-bunner-250x250-600w-776409511.jpg,1,0,0
21,언양식 불고기,1,1,8000,0,0,1~2인분,5분,임시데이터\n임시데이터,https://image.shutterstock.com/image-vector/square-pop-web-bunner-250x250-600w-776409511.jpg,https://image.shutterstock.com/image-vector/square-pop-web-bunner-250x250-600w-776409511.jpg,1,0,0
